Date,Open,High,Low,Close,Adj Close,Volume
2021-03-11,4.080000,4.390000,4.050000,4.280000,4.280000,212015400
2021-03-18,4.040000,4.130000,3.910000,3.920000,3.920000,231252000
2021-03-25,3.920000,4.090000,3.900000,3.960000,3.960000,147143800
2021-04-01,4.000000,4.050000,3.970000,4.050000,4.050000,100471400
2021-04-08,4.080000,4.170000,4.020000,4.130000,4.130000,138267100
2021-04-15,4.120000,4.220000,4.100000,4.210000,4.210000,138846400
2021-04-22,4.200000,4.300000,4.120000,4.200000,4.200000,147842800
2021-04-29,4.860000,4.940000,4.550000,4.800000,4.800000,400213000
2021-05-06,4.800000,5.180000,4.690000,4.710000,4.710000,261705300
2021-05-13,4.760000,5.070000,4.660000,4.940000,4.940000,151725700
2021-05-20,4.950000,5.160000,4.920000,4.950000,4.950000,182295500
2021-05-27,4.960000,5.550000,4.960000,5.450000,5.450000,273312600
2021-06-03,5.600000,5.690000,5.410000,5.490000,5.490000,273200100
2021-06-10,5.440000,5.500000,5.160000,5.220000,5.220000,121239600
2021-06-17,5.150000,5.250000,5.050000,5.050000,5.050000,111468100
2021-06-24,5.170000,5.650000,5.110000,5.320000,5.320000,182837400
2021-07-01,5.390000,5.480000,5.320000,5.390000,5.390000,82613100
2021-07-08,5.320000,6.000000,5.280000,5.840000,5.840000,228644800
2021-07-15,5.760000,5.960000,5.530000,5.800000,5.800000,162783800
2021-07-22,5.810000,5.890000,5.710000,5.810000,5.810000,110830400
2021-07-29,6.140000,6.290000,6.010000,6.230000,6.230000,193893900
2021-08-05,6.250000,6.260000,5.970000,6.020000,6.020000,89016800
2021-08-12,6.010000,6.150000,5.900000,5.950000,5.950000,84202000
2021-08-19,5.820000,6.090000,5.780000,6.030000,6.030000,82560000
2021-08-26,6.060000,6.100000,5.950000,5.950000,5.950000,70952200
2021-09-02,6.030000,6.070000,5.890000,5.890000,5.890000,54279400
2021-09-09,5.880000,5.980000,5.580000,5.610000,5.610000,109091700
2021-09-16,5.600000,5.650000,5.270000,5.560000,5.560000,133817600
2021-09-23,5.570000,5.660000,5.380000,5.430000,5.430000,84972000
2021-09-30,5.490000,5.680000,5.390000,5.650000,5.650000,112303400
2021-10-07,5.720000,5.890000,5.710000,5.840000,5.840000,73208900
2021-10-14,5.930000,5.980000,5.830000,5.920000,5.920000,80637600
2021-10-21,5.920000,5.980000,5.640000,5.760000,5.760000,101025400
2021-10-28,5.980000,5.980000,5.550000,5.770000,5.770000,116611700
2021-11-04,5.760000,5.900000,5.650000,5.700000,5.700000,94084700
2021-11-11,5.690000,5.750000,5.570000,5.680000,5.680000,71694500
2021-11-18,5.680000,5.890000,5.620000,5.760000,5.760000,108032600
2021-11-25,5.610000,5.770000,5.480000,5.560000,5.560000,93277900
2021-12-02,5.590000,5.980000,5.520000,5.860000,5.860000,140775600
2021-12-09,5.930000,6.150000,5.890000,6.130000,6.130000,117016900
2021-12-16,6.100000,6.150000,5.840000,6.140000,6.140000,112384200
2021-12-23,6.200000,6.400000,6.180000,6.290000,6.290000,51457800
2021-12-30,6.290000,6.340000,6.130000,6.140000,6.140000,95006100
2022-01-06,6.090000,6.260000,6.020000,6.090000,6.090000,130840000
2022-01-13,6.010000,6.040000,5.720000,5.740000,5.740000,105570000
2022-01-20,5.750000,5.800000,5.260000,5.580000,5.580000,203025300
2022-01-27,5.640000,6.000000,5.510000,5.970000,5.970000,159272300
2022-02-03,5.840000,5.910000,5.650000,5.770000,5.770000,109471000
2022-02-10,5.670000,5.850000,5.360000,5.840000,5.840000,134833000
2022-02-17,5.740000,5.780000,5.370000,5.380000,5.380000,122020000
2022-02-24,5.130000,5.490000,5.120000,5.330000,5.330000,187897400
2022-03-03,5.150000,5.170000,4.510000,4.910000,4.910000,220921100
2022-03-10,4.860000,5.260000,4.800000,5.260000,5.260000,146094800
2022-03-17,5.270000,5.390000,5.220000,5.280000,5.280000,107211500
2022-03-24,5.300000,5.600000,5.280000,5.530000,5.530000,102664500
